Data de Cadastro,ID,SubProduto,Produto Vinculado,Categoria,Fornecedor,Tamanho,UN,Fator,NCM,CST,CFOP,Status
15/06/2025 16:06:54,251,"Catchup *Dajuda* 3,5 Kg","Catchup *Dajuda* 3,5 Kg",Cozinha,Cecotti,,UN,1,,,,
15/06/2025 16:06:54,252,"Catchup *Dajuda* 3,5 Kg","Catchup *Dajuda* 3,5 Kg",Cozinha,F Martins,,UN,1,,,,
15/06/2025 16:06:54,253,"Catchup *Dajuda* 3,5 Kg","Catchup *Dajuda* 3,5 Kg",Cozinha,MartMinas,,UN,1,,,,
15/06/2025 16:06:54,254,"Catchup *Dajuda* 3,5 Kg","Catchup *Dajuda* 3,5 Kg",Cozinha,Riberfoods,"3,5kg",UN,1,,,,
15/06/2025 16:06:54,255,Cebola Caramelizada,Cebola Caramelizada,Atendimento,MartMinas,,UN,"0,31",,,,
15/06/2025 16:06:54,256,Cebola Caramelizada,Cebola Caramelizada,Atendimento,Riberfoods,,UN,1,,,,
15/06/2025 16:06:54,258,Cereja Talo *Curico*,Cereja Talo *Curico*,Confeitaria,Cecotti,"1,65",UN,"1,65",,,,
15/06/2025 16:06:54,259,Cereja Talo *Curico*,Cereja Talo *Curico*,Confeitaria,Coppa,"1,65",UN,"1,65",,,,
15/06/2025 16:06:54,260,Cereja Talo *sicola*,Cereja Talo *Curico*,Confeitaria,MixPan,1.6kg,UN,"1,65",,,,
15/06/2025 16:06:54,261,Cereja Talo *Curico*,Cereja Talo *Curico*,Confeitaria,Riberfoods,"1,65",UN,"1,65",,,,
15/06/2025 16:06:54,262,Cereja Talo *Curico*,Cereja Talo *Curico*,Confeitaria,Sorpan,"1,65",Un,"1,65",,,,
15/06/2025 16:06:54,264,Cerelis,Cerelis,Confeitaria,Cecotti,1l,UN,2,,,,
15/06/2025 16:06:54,265,Cerelis,Cerelis,Confeitaria,Coppa,1kg,UN,1,,,,
15/06/2025 16:06:54,266,Cerelis,Cerelis,Confeitaria,MixPan,1kg,UN,1,,,,
15/06/2025 16:06:54,267,Cerelis,Cerelis,Confeitaria,Riberfoods,"4,5kg",UN,"4,5",,,,
15/06/2025 16:06:54,268,Cerelis,Cerelis,Confeitaria,Sorpan,"4,5kg",,"4,5",,,,
15/06/2025 16:06:54,269,Cerveja Amstel 350ml,Cerveja Amstel 473ml,Bebidas,Bebidas Marra,12,Fardo,12,,,,
15/06/2025 16:06:54,270,Cerveja Amstel Long Neck 355ml,Cerveja Amstel Long Neck 355ml,Bebidas,Bebidas Marra,12,Fardo,,,,,
15/06/2025 16:06:54,271,Cerveja Amstel Ultra Long Neck 275ml,Cerveja Amstel Ultra Long Neck 275ml,Bebidas,Bebidas Marra,12,Fardo,,,,,
15/06/2025 16:06:54,272,Cerveja Antarctica 350ml,Cerveja Antarctica 473ml,Bebidas,Ambev,12,Fardo,12,,,,
15/06/2025 16:06:54,273,Cerveja Antarctica Sub Zero 350ml,Cerveja Antarctica Sub Zero 473ml,Bebidas,Ambev,12,Fardo,12,,,,
