Data de Cadastro,ID,SubProduto,Produto Vinculado,Categoria,Fornecedor,Tamanho,UN,Fator,NCM,CST,CFOP,Status
15/06/2025 16:06:54,385,Coca Cola 1L,Coca Cola 1L,Bebidas,Uberlandia Refrescos,12,Fardo,12,,,,
15/06/2025 16:06:54,386,Coca Cola 200ml,Coca Cola 200ml,Bebidas,Uberlandia Refrescos,12,Fardo,12,,,,
15/06/2025 16:06:54,387,Coca Cola 220ml,Coca Cola 220ml,Bebidas,Uberlandia Refrescos,6,Fardo,6,,,,
15/06/2025 16:06:54,388,Coca Cola 2L,Coca Cola 2L,Bebidas,Uberlandia Refrescos,6,Fardo,6,,,,
15/06/2025 16:06:54,389,Coca Cola 310ml,Coca Cola 310ml,Bebidas,Uberlandia Refrescos,6,Fardo,6,,,,
15/06/2025 16:06:54,390,Coca Cola 600ml,Coca Cola 600ml,Bebidas,Uberlandia Refrescos,12,Fardo,12,,,,
15/06/2025 16:06:54,391,Coca Cola Café Latinha,Coca Cola Café Latinha,Bebidas,Uberlandia Refrescos,6,Fardo,6,,,,
15/06/2025 16:06:54,392,Coca Cola Zero 1L,Coca Cola Zero 1L,Bebidas,Uberlandia Refrescos,,Fardo,12,,,,
15/06/2025 16:06:54,393,Coca Cola Zero 200ml,Coca Cola Zero 200ml,Bebidas,Uberlandia Refrescos,-,Fardo,,,,,
15/06/2025 16:06:54,394,Coca Cola Zero 2L,Coca Cola Zero 2L,Bebidas,Uberlandia Refrescos,6,Fardo,6,,,,
15/06/2025 16:06:54,395,Coca Cola Zero 310ml,Coca Cola Zero 310ml,Bebidas,Uberlandia Refrescos,6,Fardo,6,,,,
15/06/2025 16:06:54,396,Coca Cola Zero 600ml,Coca Cola Zero 600ml,Bebidas,Uberlandia Refrescos,6,Fardo,6,,,,
